timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu0_orientation_x,Imu0_orientation_y,Imu0_orientation_z,Imu0_orientation_w,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z,Imu1_orientation_x,Imu1_orientation_y,Imu1_orientation_z,Imu1_orientation_w,Imu2_linear_accleration_x,Imu2_linear_accleration_y,Imu2_linear_accleration_z,Imu2_angular_velocity_x,Imu2_angular_velocity_y,Imu2_angular_velocity_z,Imu2_orientation_x,Imu2_orientation_y,Imu2_orientation_z,Imu2_orientation_w,imu0_to_imu1_translation_x,imu0_to_imu1_translation_y,imu0_to_imu1_translation_z,imu0_to_imu1_rotation_x,imu0_to_imu1_rotation_y,imu0_to_imu1_rotation_z,imu0_to_imu1_rotation_w,imu0_to_imu2_translation_x,imu0_to_imu2_translation_y,imu0_to_imu2_translation_z,imu0_to_imu2_rotation_x,imu0_to_imu2_rotation_y,imu0_to_imu2_rotation_z,imu0_to_imu2_rotation_w
1676106783.044613,-9.49,1.18,1.22,0.04,0.03,-0.04,0.4512376350765511,-0.5109696242201923,-0.5432609460238946,-0.4900634493002105,-3.06,1.55,-8.7,0.1,-0.13,-0.04,-0.9655598979687008,-0.0913904060990683,0.2325538462039964,-0.0725298953773404,-2.97,0.63,-9.65,0.18,0.09,-0.05,-0.9270640531294382,-0.198699007280961,-0.0930488429647718,0.303994833383227,-1.0222207703553252,-0.3865381362752824,-1.8515271982498651,0.0,0.0,0.0,1.0,-0.884177821035463,-1.4491043942450563,-1.319403666573899,0.0,0.0,0.0,1.0
1676106783.0733674,-9.34,1.26,1.19,0.04,0.03,-0.04,0.4500996346849092,-0.5105320082752108,-0.5438439088747099,-0.4909187205259822,-3.22,1.79,-8.66,0.1,-0.14,-0.04,-0.9656509165138764,-0.0910112198269955,0.2323198739513357,-0.0725447549361642,-2.94,0.88,-9.72,0.16,0.08,-0.04,-0.9270256064454304,-0.1990418160734352,-0.0924087695129782,0.304083047481717,-1.0197370013340583,-0.3877167734934453,-1.8526500348587305,0.0,0.0,0.0,1.0,-0.8797193514283584,-1.4501912391738947,-1.3211885681255915,0.0,0.0,0.0,1.0
1676106783.1020403,-9.43,1.25,1.25,0.1,0.03,0.03,0.4480864027397417,-0.510943956062245,-0.5444278689225092,-0.4916839889438296,-3.08,1.78,-8.65,0.04,-0.15,0.03,-0.965756666621736,-0.0898777665225976,0.2320127277110542,-0.0735264723800817,-2.85,0.79,-9.68,0.11,0.11,0.03,-0.9273679920996252,-0.1982536086312496,-0.0920051212830841,0.3036760964440265,-1.0179019819775306,-0.3846991711764563,-1.854287491944645,0.0,0.0,0.0,1.0,-0.8764219235078995,-1.448851337527386,-1.32484505272874,0.0,0.0,0.0,1.0
1676106783.15738,-9.46,1.07,1.27,0.13,0.02,0.05,0.4441408391729537,-0.5114921944052858,-0.5448761978764924,-0.4941908326030211,-3.11,1.26,-8.84,0.02,-0.15,0.06,-0.9661774612514492,-0.0874369281525785,0.2309371147122277,-0.0743232535168932,-3.18,0.34,-9.65,0.11,0.12,0.06,-0.9281528158290524,-0.1957537860739281,-0.0909390168935528,0.3032208780950914,-1.0145545386123571,-0.383979053019081,-1.8562702322193383,0.0,0.0,0.0,1.0,-0.8683982969497428,-1.4475752391342551,-1.3315067874029742,0.0,0.0,0.0,1.0
1676106783.1829424,-9.48,1.06,1.26,0.15,0.03,0.03,0.4424977984645124,-0.5117423474870904,-0.5446834090646023,-0.4956162346334359,-3.16,1.22,-8.75,0.05,-0.14,0.08,-0.9664516529618794,-0.0859932272566981,0.2303377789807772,-0.0743025903144147,-3.08,0.32,-9.65,0.13,0.12,0.09,-0.9285138929276636,-0.194267601626688,-0.0902966117608721,0.3032632049936751,-1.013634433210208,-0.3850056262817904,-1.8565602342886656,0.0,0.0,0.0,1.0,-0.8643621577861073,-1.4474940528602087,-1.3342185080119642,0.0,0.0,0.0,1.0
1676106783.2064226,-9.47,0.98,1.26,0.16,0.02,0.02,0.4411297209943626,-0.511790225001665,-0.5442663862763539,-0.4972418281056611,-3.32,1.16,-8.77,0.07,-0.14,0.06,-0.9666993716468184,-0.0848607906859421,0.2298423502498647,-0.0739152561615086,-3.19,0.24,-9.59,0.14,0.11,0.06,-0.9287482320645086,-0.1932593715834203,-0.0896548346243561,0.3033802026512448,-1.0124962039382748,-0.3879330749571309,-1.8565719394531657,0.0,0.0,0.0,1.0,-0.8600626107700092,-1.448624471831365,-1.3357692335005975,0.0,0.0,0.0,1.0
1676106783.2475646,-9.35,0.96,0.99,0.02,0.03,-0.04,0.4420575020862799,-0.5093492863811647,-0.5433086924917416,-0.499964132688687,-2.94,1.29,-8.7,0.1,-0.12,-0.09,-0.9670060156370156,-0.085675173496044,0.2288006106813339,-0.072176249002672,-2.99,0.26,-9.58,0.17,0.09,-0.1,-0.9283795715993384,-0.194751338021221,-0.0890857901028622,0.3037219277196198,-1.0120119892372228,-0.4026091295032075,-1.8537091526128875,0.0,0.0,0.0,1.0,-0.8547719758995239,-1.4567441801383263,-1.3303237436240618,0.0,0.0,0.0,1.0
1676106783.2724378,-9.4,1.11,0.97,-0.02,0.06,-0.05,0.4414293037672793,-0.5088814160174074,-0.5441769137189799,-0.5000513581452801,-2.69,1.55,-8.66,0.1,-0.11,-0.09,-0.9671936841834898,-0.0861027760516267,0.2280692810197394,-0.071463922974534,-2.53,0.49,-9.66,0.18,0.11,-0.1,-0.9281054275521644,-0.1956386852039898,-0.0890706109503942,0.3039938263596683,-1.010276120555522,-0.4050559073878144,-1.8541229387841351,0.0,0.0,0.0,1.0,-0.8517822613266796,-1.4579054848491104,-1.330969036655657,0.0,0.0,0.0,1.0
1676106783.298286,-9.47,1.08,1.17,0.14,0.03,-0.02,0.4399342584235404,-0.5089105981638099,-0.5439018060026424,-0.5016360002720567,-3.13,1.56,-8.76,0.09,-0.12,0.02,-0.9674389204166862,-0.0851512582289418,0.2274062971581567,-0.0713973003540087,-2.87,0.5,-9.7,0.17,0.12,0.03,-0.9281692313612332,-0.194925291566864,-0.0886329229544894,0.3043849760261071,-1.0092657824100797,-0.4075195525159565,-1.8541333271297848,0.0,0.0,0.0,1.0,-0.8466622497461986,-1.4597383596280211,-1.3322263157156142,0.0,0.0,0.0,1.0
1676106783.331361,-9.41,1.1,1.18,0.06,0.04,-0.04,0.4387891164030812,-0.5082979313396616,-0.5441064145196285,-0.5030363147930954,-3.15,1.34,-8.78,0.1,-0.12,-0.04,-0.9677232149506932,-0.0849600495908827,0.2265545683271128,-0.0704740859403265,-3.0,0.36,-9.64,0.18,0.11,-0.05,-0.9279536435502084,-0.1952764499131845,-0.0882305709988634,0.304933615517231,-1.0071042978378024,-0.4128821933007954,-1.854122225672232,0.0,0.0,0.0,1.0,-0.8407465385977334,-1.4628244314805288,-1.3325876858577064,0.0,0.0,0.0,1.0
