timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu0_orientation_x,Imu0_orientation_y,Imu0_orientation_z,Imu0_orientation_w,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z,Imu1_orientation_x,Imu1_orientation_y,Imu1_orientation_z,Imu1_orientation_w,Imu2_linear_accleration_x,Imu2_linear_accleration_y,Imu2_linear_accleration_z,Imu2_angular_velocity_x,Imu2_angular_velocity_y,Imu2_angular_velocity_z,Imu2_orientation_x,Imu2_orientation_y,Imu2_orientation_z,Imu2_orientation_w,imu0_to_imu1_translation_x,imu0_to_imu1_translation_y,imu0_to_imu1_translation_z,imu0_to_imu1_rotation_x,imu0_to_imu1_rotation_y,imu0_to_imu1_rotation_z,imu0_to_imu1_rotation_w,imu0_to_imu2_translation_x,imu0_to_imu2_translation_y,imu0_to_imu2_translation_z,imu0_to_imu2_rotation_x,imu0_to_imu2_rotation_y,imu0_to_imu2_rotation_z,imu0_to_imu2_rotation_w
1676015542.015541,1.52,0.24,9.67,0.16,0.04,-0.0,0.7058694568324361,-0.5713190567268718,0.084699110325881,-0.4100840231486756,-9.15,1.08,3.94,0.09,-0.12,0.06,-0.2193922345440756,0.488439516070734,0.4611429867567692,0.707559914302238,-8.0,3.31,4.36,0.18,0.12,0.06,0.7804781573704905,-0.5215560536437757,-0.0667898735024083,-0.3381896532607515,-0.3753589226035894,-0.8104502500880636,-1.955703472245746,0.0,0.0,0.0,1.0,1.19359516696659,-0.2585909580147741,-1.7694522581372458,0.0,0.0,0.0,1.0
1676015542.0504282,1.57,0.11,9.58,0.18,0.02,-0.01,0.7044481349849114,-0.5708338952442534,0.0870748930026778,-0.4126977733949199,-9.29,1.2,3.96,0.09,-0.14,0.06,-0.218524926561785,0.4890375110811026,0.4603418648880847,0.707936816854532,-7.89,3.3,4.37,0.18,0.1,0.06,0.778542218441836,-0.523355169241964,-0.0653206759723149,-0.3401537743755012,-0.3700265781527084,-0.8148728845360533,-1.9548817134314005,0.0,0.0,0.0,1.0,1.2309055250224898,-0.220804291148379,-1.7488902348288098,0.0,0.0,0.0,1.0
1676015542.0756977,1.58,0.18,9.67,0.06,0.04,-0.03,0.7041638290850478,-0.57053820977885,0.0882085359215351,-0.4133505862838565,-9.16,1.3,4.11,0.09,-0.14,-0.01,-0.2183092419296501,0.4892845226914157,0.4591444212885396,0.7086099993242737,-7.74,3.46,4.27,0.17,0.1,-0.01,0.7776438021206274,-0.5239642642336163,-0.064026738546306,-0.3415144851695492,-0.368558570556852,-0.8188420351665744,-1.9535000131848868,0.0,0.0,0.0,1.0,1.2435860788912023,-0.2169713428469458,-1.7403784360796928,0.0,0.0,0.0,1.0
1676015542.099264,1.64,0.36,9.63,0.04,0.02,-0.02,0.7039512997567755,-0.5702714433786655,0.0889131243454113,-0.4139293475421829,-9.05,1.24,4.11,0.08,-0.16,-0.01,-0.2183204680074089,0.4890520923473683,0.4580114726243037,0.7094996230895432,-7.82,3.44,4.29,0.16,0.07,-0.01,0.7768178718997645,-0.5244030303932231,-0.0631571740322985,-0.3428799016853852,-0.3663559599464896,-0.8228770899645185,-1.9522183805668905,0.0,0.0,0.0,1.0,1.254224427777861,-0.2172657381222707,-1.7326905909029118,0.0,0.0,0.0,1.0
1676015542.1246562,1.57,0.39,9.42,0.14,-0.01,-0.0,0.7030808755975813,-0.5698913768624154,0.0900213144951527,-0.4156889027666767,-8.87,1.36,4.05,0.07,-0.17,0.04,-0.217181715609583,0.4894444387304399,0.4578164550024712,0.709704401374046,-7.41,3.47,4.17,0.15,0.08,0.04,0.7756457734164781,-0.5254084847542797,-0.0624010278920544,-0.3441303096900654,-0.3618301320360157,-0.8241124419569884,-1.952541328259786,0.0,0.0,0.0,1.0,1.274915990683787,-0.1917669407763145,-1.7205564963476414,0.0,0.0,0.0,1.0
1676015542.1474197,1.48,0.32,9.41,0.13,0.01,0.01,0.7022560955337848,-0.569732226842225,0.091061662329735,-0.417072343409136,-8.73,1.36,4.03,0.07,-0.15,0.02,-0.2163519093647264,0.4899121572495576,0.4574419757375851,0.7098765866871622,-7.41,3.32,4.17,0.16,0.1,0.03,0.7746232981367284,-0.5263027060739349,-0.0614443634505956,-0.3452373064475819,-0.358726164061187,-0.8253090163807437,-1.952608656822609,0.0,0.0,0.0,1.0,1.288205044234939,-0.1723754309777777,-1.7126921716417356,0.0,0.0,0.0,1.0
1676015542.1766956,1.43,0.15,9.38,0.08,0.08,0.03,0.7012328512757224,-0.5702210937441108,0.0925880121217544,-0.417789244179805,-9.01,1.23,3.87,0.04,-0.09,-0.0,-0.2167801653003823,0.4905057250379787,0.4564101065954093,0.7100002170667787,-7.61,3.28,4.16,0.12,0.16,-0.0,0.7737860230562591,-0.5273796112100071,-0.0596953797758979,-0.3457779603100398,-0.3593446633703722,-0.8280915035539658,-1.9513164465685635,0.0,0.0,0.0,1.0,1.2894772154337242,-0.1575019960110925,-1.71316713490827,0.0,0.0,0.0,1.0
1676015542.2165227,1.56,0.23,9.55,0.06,0.07,0.02,0.7001397529836068,-0.570697493494081,0.0943871639156478,-0.4185687046347205,-9.14,0.97,3.95,0.05,-0.11,0.0,-0.2179365831501342,0.4901256436582737,0.4545288145435208,0.7111146573535586,-7.96,3.17,4.32,0.14,0.12,-0.01,0.7725506481764381,-0.5284269146734006,-0.0576453475321597,-0.3472859135623158,-0.3583167540764554,-0.834855388270813,-1.9486214574471108,0.0,0.0,0.0,1.0,1.291820391922789,-0.1544023118478672,-1.7116833822610082,0.0,0.0,0.0,1.0
1676015542.2752674,1.54,0.21,9.51,0.16,-0.0,-0.01,0.6979708527520793,-0.5696228025477748,0.0976569592640583,-0.4228825721562105,-9.0,1.11,3.99,0.09,-0.17,0.05,-0.2168955103169129,0.4897025053790119,0.4528127786370723,0.7128172145317894,-7.63,3.26,4.28,0.17,0.08,0.06,0.7692473248957621,-0.5312112094212734,-0.0557590767759227,-0.3506624152700126,-0.3460288209673825,-0.8444159114168652,-1.9467218146427463,0.0,0.0,0.0,1.0,1.3516011675904671,-0.0907735009099972,-1.6695611565020998,0.0,0.0,0.0,1.0
1676015542.3108797,1.57,0.17,9.5,0.06,0.05,-0.0,0.6972142112913154,-0.5696371901723493,0.0991740034247305,-0.4237573978005472,-9.08,1.35,4.22,0.07,-0.12,-0.01,-0.2162313475618886,0.4906375463462731,0.4516668569015589,0.7131029749086351,-7.65,3.42,4.3,0.15,0.12,-0.02,0.7681603757896227,-0.5320314295947057,-0.0537588161665414,-0.3521110402622042,-0.345159126252082,-0.8468362752278183,-1.9458246325204065,0.0,0.0,0.0,1.0,1.3571745447503498,-0.0821557025818862,-1.6654812204329883,0.0,0.0,0.0,1.0
