timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu0_orientation_x,Imu0_orientation_y,Imu0_orientation_z,Imu0_orientation_w,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z,Imu1_orientation_x,Imu1_orientation_y,Imu1_orientation_z,Imu1_orientation_w,Imu2_linear_accleration_x,Imu2_linear_accleration_y,Imu2_linear_accleration_z,Imu2_angular_velocity_x,Imu2_angular_velocity_y,Imu2_angular_velocity_z,Imu2_orientation_x,Imu2_orientation_y,Imu2_orientation_z,Imu2_orientation_w,imu0_to_imu1_translation_x,imu0_to_imu1_translation_y,imu0_to_imu1_translation_z,imu0_to_imu1_rotation_x,imu0_to_imu1_rotation_y,imu0_to_imu1_rotation_z,imu0_to_imu1_rotation_w,imu0_to_imu2_translation_x,imu0_to_imu2_translation_y,imu0_to_imu2_translation_z,imu0_to_imu2_rotation_x,imu0_to_imu2_rotation_y,imu0_to_imu2_rotation_z,imu0_to_imu2_rotation_w
1676016742.2386258,0.36,9.58,2.05,0.11,0.01,0.02,-0.31941933344939183,-0.5646027944505407,-0.6730812447025454,-0.35518532056809293,-0.63,10.04,1.91,0.04,-0.14,0.02,0.38272357265094725,0.5172943578460705,0.5834898802157459,0.4954480537490598,2.31,9.73,-0.43,0.12,0.1,0.03,0.5200720855116938,0.528118918316936,0.5729882904502759,0.34971395882083034,0.3464250012935638,2.121506972089309,-0.04120541050890056,0.0,0.0,0.0,1.0,0.08210734092307075,2.1273308885540976,0.3003692313972509,0.0,0.0,0.0,1.0
1676016742.2873988,0.32,9.56,2.04,0.1,0.02,0.03,-0.3192642099604563,-0.5637674384220521,-0.6742063276773823,-0.35451723136279484,-0.72,9.66,1.7,0.05,-0.16,0.02,0.38383785963731126,0.5186442079565962,0.5791720842796011,0.4982332584777391,2.05,9.53,-0.55,0.13,0.09,0.02,0.5178648396004005,0.5295671123992388,0.574158124641272,0.3488798206821381,0.3428697164226752,2.1220007117444855,-0.04531376078115982,0.0,0.0,0.0,1.0,0.08547839711936524,2.127179817470608,0.3004986984524471,0.0,0.0,0.0,1.0
1676016742.3241808,0.27,9.48,2.15,0.08,0.0,0.03,-0.31903835356078225,-0.562895086665298,-0.6750350306656938,-0.35452976989169444,-0.74,9.8,1.82,0.03,-0.15,0.01,0.3842840054811172,0.5160625000162651,0.579038954344674,0.5007186720702334,2.23,9.55,-0.48,0.11,0.1,0.01,0.5163990463046932,0.5299727383130973,0.5758047893334475,0.34772081646226605,0.3501118069356795,2.1208408429536805,-0.04422489687671014,0.0,0.0,0.0,1.0,0.09004820457444,2.1267619826351707,0.302117179370254,0.0,0.0,0.0,1.0
1676016742.3495886,0.28,9.56,1.95,0.04,-0.01,0.0,-0.31852286400430807,-0.5620356231011764,-0.6757102490098666,-0.3550701379372665,-0.91,9.84,1.72,0.04,-0.14,-0.02,0.3841707880849402,0.516968060970584,0.5767074872905847,0.5025587563872413,1.89,9.83,-0.62,0.19,0.09,-0.03,0.5149085324305815,0.5321334272370994,0.5751586454036827,0.34770066359511637,0.3505732343355462,2.1206554129348665,-0.04918360456048908,0.0,0.0,0.0,1.0,0.09075189067674677,2.1273443910831777,0.297774975552915,0.0,0.0,0.0,1.0
1676016742.3870587,0.25,9.55,2.04,0.06,-0.05,0.03,-0.3186273472572359,-0.56063881049299,-0.676401324387526,-0.35586793353099827,-0.66,9.86,1.74,0.03,-0.18,0.02,0.38890134748149285,0.5137834531029128,0.5768475549177023,0.5020251025896958,2.32,9.3,-0.5,0.11,0.08,0.03,0.5144383883332126,0.5317500220707398,0.5771145718439469,0.3457366477570352,0.3536484439143453,2.12037428166918,-0.03802214818852206,0.0,0.0,0.0,1.0,0.0959067177506272,2.126467286515663,0.3023884602113878,0.0,0.0,0.0,1.0
1676016742.4373443,0.26,9.56,1.96,0.06,0.02,0.01,-0.3171827547725685,-0.5595989913273041,-0.677673084723087,-0.35637516639384986,-0.57,9.75,1.9,0.04,-0.15,0.02,0.39135568625959144,0.5093363276006078,0.5775341554303749,0.5038566577211561,2.24,9.51,-0.53,0.14,0.1,0.01,0.5127312622560296,0.5326616930221466,0.5790174171412221,0.3436815446590451,0.3642305210879574,2.1186701065005065,-0.03275831694589379,0.0,0.0,0.0,1.0,0.10205999404096236,2.126111918032824,0.30287269539386735,0.0,0.0,0.0,1.0
1676016742.4929478,0.3,9.61,2.04,0.07,0.02,0.0,-0.3159579681401786,-0.5584580676267753,-0.6790317222927245,-0.356666607900816,-0.7,9.8,1.77,0.08,-0.13,-0.01,0.3913347356759468,0.5117298801381003,0.5723071401498622,0.5073994400477482,2.16,9.56,-0.53,0.15,0.1,-0.01,0.5100867636802666,0.5346865863955936,0.5802999501552023,0.3423064645850104,0.36225695354914395,2.118823814181327,-0.04307602655056196,0.0,0.0,0.0,1.0,0.10726863784390939,2.1261891826157044,0.30052121233462925,0.0,0.0,0.0,1.0
1676016742.5162828,0.23,9.46,2.06,0.11,0.03,-0.0,-0.3153251149789399,-0.5584706146186608,-0.6792705443941565,-0.3567522557594274,-0.65,9.66,1.77,0.09,-0.14,0.0,0.3928190446368331,0.5100006579449635,0.5723883023985361,0.5079017211465543,2.11,9.46,-0.54,0.16,0.1,0.01,0.5091040224113643,0.5355184657143253,0.5808194330242756,0.34158725600482065,0.3646435276092189,2.118460416289565,-0.040749998612879465,0.0,0.0,0.0,1.0,0.10826669779517643,2.126341242224752,0.2990840078684026,0.0,0.0,0.0,1.0
1676016742.5396965,0.24,9.54,2.07,0.05,0.06,0.0,-0.31424268495682284,-0.5580988366408077,-0.6800376037640069,-0.3568278029501225,-0.94,9.88,1.79,0.07,-0.14,-0.03,0.39245464019581516,0.5106768639388058,0.5702970529372777,0.5098526918997832,1.98,9.72,-0.5,0.14,0.11,-0.03,0.5075061419530499,0.5368579515322345,0.5810266678601379,0.3415099808085975,0.3656193269835223,2.1181762570122076,-0.046388058440407894,0.0,0.0,0.0,1.0,0.11084522621138389,2.1267045730814056,0.2955350988643857,0.0,0.0,0.0,1.0
1676016742.5659592,0.27,9.63,1.98,0.1,0.01,0.0,-0.3137962855270942,-0.5578157323798518,-0.6803858008434777,-0.3569995264835899,-0.59,9.64,1.71,0.07,-0.17,0.01,0.3957826731498497,0.5086979554475398,0.5702089173005107,0.5093567083968084,2.04,9.43,-0.55,0.15,0.08,0.03,0.5065562728277107,0.5376096358010263,0.5815271216859569,0.34088536005002046,0.3661354837728213,2.118221672203605,-0.03977128272264404,0.0,0.0,0.0,1.0,0.11234807809551785,2.1267634151599126,0.294542501662475,0.0,0.0,0.0,1.0
