timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu0_orientation_x,Imu0_orientation_y,Imu0_orientation_z,Imu0_orientation_w,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z,Imu1_orientation_x,Imu1_orientation_y,Imu1_orientation_z,Imu1_orientation_w,Imu2_linear_accleration_x,Imu2_linear_accleration_y,Imu2_linear_accleration_z,Imu2_angular_velocity_x,Imu2_angular_velocity_y,Imu2_angular_velocity_z,Imu2_orientation_x,Imu2_orientation_y,Imu2_orientation_z,Imu2_orientation_w,imu0_to_imu1_translation_x,imu0_to_imu1_translation_y,imu0_to_imu1_translation_z,imu0_to_imu1_rotation_x,imu0_to_imu1_rotation_y,imu0_to_imu1_rotation_z,imu0_to_imu1_rotation_w,imu0_to_imu2_translation_x,imu0_to_imu2_translation_y,imu0_to_imu2_translation_z,imu0_to_imu2_rotation_x,imu0_to_imu2_rotation_y,imu0_to_imu2_rotation_z,imu0_to_imu2_rotation_w
1677151448.1609902,1.3,2.54,9.36,0.09,0.04,0.0,0.3301721123964029,0.15520007567469807,0.5900745099992666,0.7202162073678919,-8.69,3.37,3.4,0.07,-0.13,0.03,-0.5016463046968044,-0.2780931525909729,0.5221619232260476,-0.6311593375677252,-8.12,4.47,1.67,0.15,0.11,0.02,0.5138197577766119,0.7107590456112988,-0.36282137725870467,0.3149150422005848,0.7544755565164325,1.8299837980991251,-0.8393008598315141,0.0,0.0,0.0,1.0,1.1093195015035855,-1.8353891231252857,0.15250249275743694,0.0,0.0,0.0,1.0
1677151448.1924403,1.31,2.52,9.29,0.09,0.03,-0.0,0.32894863056421453,0.1550560511760809,0.5907001129213758,0.7202942426802275,-8.65,3.37,3.28,0.07,-0.13,0.01,-0.5027897949175137,-0.27727209779919004,0.5227165624311254,-0.6301507766154287,-8.11,4.46,1.68,0.16,0.11,0.01,0.515578059978394,0.7094516930847923,-0.3636296481645512,0.3140557883939757,0.7542235565396087,1.8308750665733817,-0.8375818272626608,0.0,0.0,0.0,1.0,1.1123150440077623,-1.834351359788018,0.14286473223947815,0.0,0.0,0.0,1.0
1677151448.2230325,1.29,2.5,9.29,0.09,0.03,0.01,0.32777715730605633,0.1548679503772702,0.5914156803812579,0.7202815741732381,-8.69,3.33,3.21,0.07,-0.13,0.02,-0.5036622458296288,-0.27678640940043725,0.5234441177037225,-0.6290627006415492,-8.08,4.41,1.71,0.16,0.12,0.02,0.517444305836876,0.7081453246413963,-0.3642957134784556,0.3131616558372817,0.753847972130916,1.831440861904343,-0.8366824990766705,0.0,0.0,0.0,1.0,1.1149847490839122,-1.8334667381548568,0.13307414996938602,0.0,0.0,0.0,1.0
1677151448.2509952,1.28,2.53,9.29,0.09,0.04,0.0,0.3265969355426289,0.15484429758967877,0.5920123310081672,0.7203326211774662,-8.64,3.39,3.34,0.07,-0.13,0.01,-0.504665203008394,-0.2759383986996123,0.5239144413958927,-0.6282393581211065,-8.11,4.43,1.71,0.15,0.11,0.01,0.5189531617478614,0.7070276960271008,-0.364918582635096,0.3124642075664029,0.7539049562647819,1.832141373427167,-0.8350959853189397,0.0,0.0,0.0,1.0,1.1175409393174278,-1.8325294249019015,0.12425037552549627,0.0,0.0,0.0,1.0
1677151448.2708232,1.31,2.52,9.28,0.1,0.04,0.01,0.32585323054575954,0.15484027559735503,0.5924939752426491,0.7202742883769977,-8.69,3.38,3.3,0.07,-0.13,0.01,-0.5051366819400269,-0.27571430130613,0.5245028512610668,-0.627467382126676,-8.12,4.44,1.67,0.15,0.1,0.01,0.5199871113064752,0.7062018917178088,-0.3654066280454843,0.3120421259858434,0.7534373166068298,1.8323295309961392,-0.8351052028240322,0.0,0.0,0.0,1.0,1.119604071108997,-1.8316844227935378,0.11797838467983643,0.0,0.0,0.0,1.0
1677151448.3139522,1.3,2.51,9.26,0.09,0.03,0.01,0.32420250631698055,0.15454683193540922,0.5935033396533789,0.720251204411907,-8.61,3.36,3.33,0.07,-0.14,0.02,-0.5048652582651566,-0.2757033375560155,0.5267496834831393,-0.6258062892043695,-8.11,4.45,1.69,0.15,0.1,0.01,0.5222358053012519,0.7043982378726599,-0.366468375464255,0.31111704538297874,0.7547228265374466,1.830627463644319,-0.8376732921936181,0.0,0.0,0.0,1.0,1.1233022001753665,-1.8302223355406657,0.10477771504118157,0.0,0.0,0.0,1.0
1677151448.3447347,1.3,2.49,9.28,0.1,0.03,0.0,0.3231113185104314,0.15447265777281946,0.5940877407268391,0.7202756626244786,-8.64,3.37,3.26,0.07,-0.13,0.02,-0.5061865180888822,-0.2745001469746102,0.5269975403295738,-0.6250587737985528,-8.09,4.37,1.74,0.15,0.11,0.02,0.5239916820506828,0.7030754673063221,-0.36711112892119824,0.3103981691890215,0.7545096509574135,1.8320414090851336,-0.8347691070047333,0.0,0.0,0.0,1.0,1.1259657048048586,-1.8291018397722147,0.09532938343027286,0.0,0.0,0.0,1.0
1677151448.3711164,1.31,2.52,9.28,0.1,0.03,0.0,0.322177609337251,0.1544018638567507,0.5945888376408515,0.7202956105879005,-8.67,3.35,3.3,0.06,-0.13,0.01,-0.5064698423300633,-0.27449073435915633,0.5279646345978546,-0.6240164101809229,-8.09,4.46,1.7,0.15,0.1,0.0,0.5252676268963417,0.702036904932105,-0.3677963244201964,0.30978051583505045,0.7542886866990783,1.8316557821804025,-0.8358143769539246,0.0,0.0,0.0,1.0,1.12835011872491,-1.8280028219742608,0.08793004280461246,0.0,0.0,0.0,1.0
1677151448.3931453,1.26,2.49,9.29,0.09,0.03,0.0,0.3213090690349085,0.15428994211486044,0.595018712690303,0.7203525716386998,-8.67,3.37,3.37,0.06,-0.13,0.01,-0.5045407571580109,-0.2734776738205981,0.5299338189305208,-0.6243546538961728,-8.16,4.42,1.67,0.15,0.11,0.01,0.5264478975450503,0.7011418474534249,-0.3682788086846531,0.30923039953052345,0.7608030765189576,1.8281995965118243,-0.8374753214712009,0.0,0.0,0.0,1.0,1.1299999203731506,-1.8272873851167362,0.08136947922847003,0.0,0.0,0.0,1.0
1677151448.4145336,1.27,2.54,9.26,0.09,0.03,0.0,0.3204666623321267,0.1541761408716095,0.5954364617658854,0.7204070071281705,-8.66,3.37,3.34,0.07,-0.13,0.02,-0.5054736666797908,-0.2725630486041527,0.530073123382369,-0.6238815918878821,-8.13,4.43,1.68,0.15,0.11,0.02,0.5276678629427028,0.7002153138398988,-0.3687119831015106,0.3087338889706222,0.7610308800358784,1.8291655408883933,-0.8351559277513914,0.0,0.0,0.0,1.0,1.131568768685738,-1.8266014014820617,0.07469566144569995,0.0,0.0,0.0,1.0
