timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu0_orientation_x,Imu0_orientation_y,Imu0_orientation_z,Imu0_orientation_w,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z,Imu1_orientation_x,Imu1_orientation_y,Imu1_orientation_z,Imu1_orientation_w,Imu2_linear_accleration_x,Imu2_linear_accleration_y,Imu2_linear_accleration_z,Imu2_angular_velocity_x,Imu2_angular_velocity_y,Imu2_angular_velocity_z,Imu2_orientation_x,Imu2_orientation_y,Imu2_orientation_z,Imu2_orientation_w,imu0_to_imu1_translation_x,imu0_to_imu1_translation_y,imu0_to_imu1_translation_z,imu0_to_imu1_rotation_x,imu0_to_imu1_rotation_y,imu0_to_imu1_rotation_z,imu0_to_imu1_rotation_w,imu0_to_imu2_translation_x,imu0_to_imu2_translation_y,imu0_to_imu2_translation_z,imu0_to_imu2_rotation_x,imu0_to_imu2_rotation_y,imu0_to_imu2_rotation_z,imu0_to_imu2_rotation_w
1676015961.0210674,-7.7,2.89,3.98,-0.04,-0.7,0.5,0.42335266762030194,0.2413797286969989,-0.5746731569251702,0.6574641496709885,-5.56,3.0,-6.85,-0.38,-0.76,-0.11,0.022092242407800604,-0.5817884027646308,-0.030454752325688214,-0.8124695042244696,-5.88,2.75,-7.24,-0.48,-0.36,0.05,-0.5863607110068978,-0.6369190029249134,0.2354420857050378,0.4416812477109265,1.0557643054433545,0.18507836778356693,-1.863761714686264,0.0,0.0,0.0,1.0,-0.938083916625943,-0.8511863902561818,-1.7372335175244524,0.0,0.0,0.0,1.0
1676015961.057953,-7.99,2.8,3.81,-0.03,-0.64,0.45,0.4203683708988379,0.23161993457514377,-0.5731065507154467,0.6642224929813101,-4.58,2.58,-7.05,-0.39,-0.74,-0.1,0.027838784517332453,-0.573120717874746,-0.03396977906978401,-0.8182931619714802,-4.79,2.28,-7.45,-0.41,-0.35,0.02,-0.5898165768261927,-0.6419050727887062,0.23437362989305902,0.4302827963559652,1.1022686868403975,0.19350864400377835,-1.8357718122650657,0.0,0.0,0.0,1.0,-0.9296376454529062,-0.8098862070304897,-1.7613512369253734,0.0,0.0,0.0,1.0
1676015961.0851016,-8.09,2.55,3.78,0.19,-0.02,0.15,0.4237078352648557,0.23045075079633082,-0.5720427318076928,0.6634238726323989,-5.34,2.24,-7.17,-0.07,-0.2,0.08,0.027472025175349944,-0.5729065971330132,-0.035787805820379055,-0.8183780005283616,-5.64,2.4,-7.55,0.01,0.07,0.12,-0.5920598223915404,-0.640864612492733,0.2345785574109076,0.42863809392919594,1.099914004529005,0.20460107474656972,-1.8359813677849557,0.0,0.0,0.0,1.0,-0.9345022706959032,-0.7996978739541616,-1.7634309786485534,0.0,0.0,0.0,1.0
1676015961.1178536,-8.19,2.44,3.78,0.17,-0.0,0.05,0.42714562425178676,0.23033400828543,-0.5717645895578151,0.6614968740950347,-4.98,2.15,-7.33,0.02,-0.17,0.05,0.02614355108181084,-0.5731089718687303,-0.03669819338062859,-0.8182394904323534,-5.32,1.99,-7.61,0.09,0.1,0.07,-0.5938332838465751,-0.6395902615465212,0.2350041607985929,0.4278543826329169,1.0936509402671415,0.21417472463573597,-1.8386290567104622,0.0,0.0,0.0,1.0,-0.9388442819785594,-0.7953746084977628,-1.7630798752050894,0.0,0.0,0.0,1.0
1676015961.1539338,-8.2,2.5,3.8,0.13,0.03,0.03,0.43068070651061546,0.23110771124829751,-0.5712945885723886,0.6593374309934147,-4.93,2.14,-7.3,0.04,-0.14,0.05,0.024400813661366396,-0.5737863837069594,-0.03747074817570839,-0.8177834243834401,-5.3,2.03,-7.64,0.14,0.11,0.05,-0.5952119518816638,-0.6381108820706715,0.23577031164113293,0.42772607433829957,1.0842103584892426,0.22347507363011712,-1.8431079159969557,0.0,0.0,0.0,1.0,-0.9436743083251584,-0.793794856180801,-1.7612122319890735,0.0,0.0,0.0,1.0
1676015961.1966686,-8.04,2.7,3.95,0.11,0.05,-0.04,0.4346698254805966,0.2329258723926227,-0.571281441580696,0.656083222840125,-5.39,2.83,-7.1,0.12,-0.11,0.02,0.02109220272601027,-0.5750905583768824,-0.037019484432808655,-0.8169795140774703,-5.86,3.19,-7.52,0.2,0.11,0.02,-0.5957530501020107,-0.6363979564729676,0.23718926639252053,0.42873907706128217,1.0696037220995391,0.23279251299743986,-1.8504744050008226,0.0,0.0,0.0,1.0,-0.947832771032549,-0.7986416987037431,-1.7567824211462155,0.0,0.0,0.0,1.0
1676015961.228048,-8.05,2.82,3.98,0.12,0.02,-0.04,0.437538285766967,0.2337028647929761,-0.5714150183768488,0.6537798530461499,-5.24,2.72,-7.08,0.11,-0.12,0.02,0.018800759860758038,-0.5759178092729952,-0.036755334159781314,-0.8164644841030471,-5.43,2.77,-7.52,0.17,0.1,0.03,-0.5964566725476564,-0.635248520964655,0.23805538439105542,0.42898530085309755,1.0602436202010745,0.2397372966951057,-1.8549688661528103,0.0,0.0,0.0,1.0,-0.9504601737584567,-0.8004365894940354,-1.7545445917098261,0.0,0.0,0.0,1.0
1676015961.2938101,-8.06,2.95,3.99,0.14,0.1,-0.05,0.4456267628437122,0.2363587883247489,-0.5706476453454188,0.648006617466843,-5.39,3.13,-7.12,0.11,-0.06,0.02,0.013876784845770741,-0.5791964429764479,-0.036284765826069335,-0.8142618320016738,-5.45,3.29,-7.57,0.23,0.18,-0.0,-0.5969989128656595,-0.631842245318408,0.239007153774982,0.43271613733785735,1.0320558002546976,0.2567045613222438,-1.8685458499477583,0.0,0.0,0.0,1.0,-0.9630363153999718,-0.8091476226375702,-1.7436574147466049,0.0,0.0,0.0,1.0
1676015961.3210292,-8.15,2.86,4.11,0.12,0.07,0.01,0.4485488469304922,0.2372537170814382,-0.5700727492597514,0.6461669027424691,-5.66,2.9,-7.13,0.06,-0.1,0.04,0.012268109220808052,-0.5800871485044206,-0.03665749730419824,-0.8136366643210896,-5.81,3.18,-7.57,0.15,0.16,0.04,-0.5979824594584808,-0.6304421147058408,0.23916800952249415,0.4333109523266888,1.0225944719768254,0.26386482775960646,-1.8727455509368673,0.0,0.0,0.0,1.0,-0.9685205624547815,-0.8089629564084437,-1.7407029773230078,0.0,0.0,0.0,1.0
1676015961.3479128,-8.19,2.75,4.12,0.05,0.11,-0.03,0.45076420341668727,0.2395258553781015,-0.5695704873364562,0.6442270232447722,-5.34,2.4,-7.23,0.11,-0.04,-0.02,0.01072944124669905,-0.5816624109916303,-0.03589206460515171,-0.8125672147141535,-5.78,2.59,-7.55,0.21,0.17,-0.04,-0.5979976955235866,-0.6294297735406651,0.23933753602702354,0.4346659178927419,1.0103760568134788,0.26625467742045644,-1.8790286508113105,0.0,0.0,0.0,1.0,-0.974053241446263,-0.8136504519211887,-1.7354230679913394,0.0,0.0,0.0,1.0
